 Imunizações - Cobertura - Amazonas
Cobertura por Imuno e Ano
Período:2014-2019
"Imuno";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";120,39;110,79;95,87;93,81;96,99;58,92;96,10
"099 Hepatite B  em crianças até 30 dias";98,95;101,09;85,80;85,42;90,44;56,70;86,38
"061 Rotavírus Humano";83,26;88,88;75,15;74,27;79,95;55,28;76,11
"053 Meningococo C";87,91;94,91;82,77;81,21;79,16;59,63;80,96
"073 Hepatite B";90,05;95,21;106,98;78,27;79,62;57,64;84,75
"080 Penta";89,71;94,61;82,35;75,82;78,95;54,92;79,40
"012 Pneumocócica";78,30;84,54;88,36;86,40;89,70;61,67;81,54
"074 Poliomielite";98,86;104,80;76,24;76,30;78,83;55,09;81,65
"100 Poliomielite 4 anos";...;...;...;0,23;0,24;0,06;0,18
"006 Febre Amarela";92,46;92,52;75,83;70,35;69,93;49,10;75,03
"096 Hepatite A";44,12;97,74;68,07;79,94;78,19;56,47;70,85
"091 Pneumocócica(1º ref)";76,96;79,07;79,58;78,37;78,05;53,67;74,33
"092 Meningococo C (1º ref)";80,09;80,67;88,89;82,04;76,55;59,71;78,08
"093 Poliomielite(1º ref)";80,87;82,98;68,19;67,91;66,96;51,64;69,76
"021 Tríplice Viral  D1";114,36;95,42;83,56;84,59;90,09;58,89;87,74
"098 Tríplice Viral  D2";84,51;78,17;75,60;65,40;77,98;51,33;72,12
"097 Tetra Viral(SRC+VZ)";84,84;77,43;75,80;63,07;58,49;45,40;67,55
"075 DTP";89,79;94,65;82,42;75,83;79,06;55,06;79,47
"102 DTP REF (4 e 6 anos)";3,28;...;2,54;3,18;2,40;1,45;3,30
"095 Tríplice Bacteriana(DTP)(1º ref)";81,23;78,68;46,95;66,42;68,96;48,05;64,94
"094 Dupla adulto e tríplice acelular gestante";49,11;51,92;36,65;49,46;56,72;39,75;47,22
"003 dTpa gestante";7,00;49,29;42,85;58,11;70,89;50,14;46,39
"Total";74,62;87,03;69,49;75,30;80,13;54,75;73,31
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

 Consulte o site da Secretaria Estadual de Saúde para mais informações.
