 Imunizações - Cobertura - Minas Gerais
Cobertura por Imuno e Ano
Período:2014-2019
"Imuno";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";100,85;102,41;89,41;93,60;99,16;58,91;90,66
"099 Hepatite B  em crianças até 30 dias";88,03;88,92;76,13;80,60;89,41;53,83;79,41
"061 Rotavírus Humano";98,57;101,89;92,20;88,58;96,87;59,22;89,50
"053 Meningococo C";99,62;103,38;94,75;89,16;96,08;59,31;90,34
"073 Hepatite B";99,04;100,98;105,35;90,67;99,96;65,15;93,51
"080 Penta";98,75;100,70;93,25;86,74;95,58;55,59;88,38
"012 Pneumocócica";97,91;100,89;95,71;92,05;98,79;59,91;90,84
"074 Poliomielite";96,51;97,12;88,29;86,50;95,28;57,74;86,85
"100 Poliomielite 4 anos";...;...;...;0,11;0,13;0,12;0,12
"006 Febre Amarela";85,33;91,00;86,03;81,65;93,20;58,64;82,58
"096 Hepatite A";66,23;100,35;79,07;90,22;90,80;60,44;81,15
"091 Pneumocócica(1º ref)";95,66;94,11;85,85;83,89;88,37;58,32;84,30
"092 Meningococo C (1º ref)";93,64;92,73;106,79;86,47;89,42;61,90;88,52
"093 Poliomielite(1º ref)";90,38;84,83;90,57;84,72;81,57;54,07;81,06
"021 Tríplice Viral  D1";109,22;100,11;98,93;93,59;96,77;65,82;94,05
"098 Tríplice Viral  D2";87,72;71,87;88,38;85,68;84,50;56,89;79,21
"097 Tetra Viral(SRC+VZ)";78,40;66,03;91,82;18,30;9,33;0,57;44,26
"075 DTP";99,06;101,00;93,28;86,77;95,73;55,75;88,55
"102 DTP REF (4 e 6 anos)";1,70;...;2,18;2,13;1,64;1,08;2,18
"095 Tríplice Bacteriana(DTP)(1º ref)";91,76;91,62;76,59;79,42;80,94;45,50;77,59
"094 Dupla adulto e tríplice acelular gestante";33,61;29,85;17,32;22,94;45,28;32,40;30,07
"003 dTpa gestante";7,49;35,56;25,14;37,02;72,03;49,49;37,55
"Total";78,87;87,97;76,74;86,54;91,25;56,35;79,46
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

 Consulte o site da Secretaria Estadual de Saúde para mais informações.
