 Imunizações - Cobertura - São Paulo
Cobertura por Imuno e Ano
Período:2014-2019
"Imuno";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"072 BCG";103,46;102,20;94,33;100,51;99,08;50,70;91,74
"099 Hepatite B  em crianças até 30 dias";91,83;92,51;89,81;91,37;88,32;47,15;83,55
"061 Rotavírus Humano";93,85;97,00;90,32;90,16;91,10;53,12;85,95
"053 Meningococo C";97,36;98,62;90,42;89,28;87,87;54,07;86,30
"073 Hepatite B";99,58;100,68;110,04;89,43;98,61;59,56;93,02
"080 Penta";95,46;98,36;88,48;86,67;90,11;49,04;84,70
"012 Pneumocócica";100,63;99,93;93,58;95,24;94,34;54,44;89,73
"074 Poliomielite";95,73;99,68;83,84;87,21;91,10;52,48;85,00
"100 Poliomielite 4 anos";...;...;...;0,94;0,83;0,13;0,65
"006 Febre Amarela";19,56;19,70;18,63;23,46;58,83;45,08;30,72
"096 Hepatite A";67,84;102,42;63,43;80,29;83,05;53,77;75,07
"091 Pneumocócica(1º ref)";91,50;92,71;86,84;78,32;80,16;51,79;80,25
"092 Meningococo C (1º ref)";94,83;94,42;80,76;81,35;80,43;57,29;81,53
"093 Poliomielite(1º ref)";88,91;90,27;77,72;81,56;74,56;48,55;76,97
"021 Tríplice Viral  D1";105,02;97,91;92,96;91,26;90,38;60,19;89,65
"098 Tríplice Viral  D2";95,89;92,43;77,73;87,14;81,41;51,69;81,07
"097 Tetra Viral(SRC+VZ)";98,07;94,64;80,97;21,48;36,80;24,28;59,43
"075 DTP";96,84;99,76;88,94;87,33;90,45;49,14;85,43
"102 DTP REF (4 e 6 anos)";0,90;...;2,38;2,38;1,86;1,00;1,87
"095 Tríplice Bacteriana(DTP)(1º ref)";89,23;91,84;59,59;76,84;68,08;37,75;70,57
"094 Dupla adulto e tríplice acelular gestante";42,80;59,91;24,23;28,59;41,16;27,16;37,25
"003 dTpa gestante";12,38;61,09;26,42;35,90;54,68;35,86;37,59
"Total";78,19;89,37;70,24;76,48;81,25;50,95;74,14
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

 Consulte o site da Secretaria Estadual de Saúde para mais informações.
