 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Ano e Unidade da Federação
Imuno: 006 Febre Amarela
Período:1994-2019
"Ano";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"1994";8,29;-;7,55;3,70;5,36;...;...;33,62;0,01;-;-;...;-;...;...;-;...;-;...;...;...;0,12;...;...;5,70;2,21;...;5,27
"1995";49,44;63,59;16,68;33,29;12,84;0,04;...;41,82;0,17;-;0,00;-;0,00;-;-;-;...;0,02;-;-;0,07;0,00;-;...;18,66;10,10;-;4,81
"1996";66,06;30,00;69,11;46,30;17,94;4,42;25,53;10,81;1,15;-;-;-;0,00;-;-;0,00;...;-;0,08;-;0,02;0,01;-;34,01;18,02;21,46;0,92;5,65
"1997";97,43;85,83;74,31;53,11;29,26;10,54;60,35;18,40;0,69;-;0,49;-;0,07;0,11;-;0,03;0,29;2,32;0,06;-;0,27;0,03;0,02;51,61;29,89;31,83;4,02;7,84
"1998";115,31;73,51;108,21;112,89;80,62;93,36;87,81;76,33;1,27;0,63;0,49;0,12;0,18;0,01;0,02;0,83;14,57;0,03;0,03;5,25;0,03;0,21;0,51;70,34;70,74;59,51;3,46;18,49
"1999";103,35;99,23;93,87;98,09;92,57;94,50;102,84;77,45;11,97;14,27;1,28;1,61;0,44;1,52;0,00;36,07;56,51;0,06;0,25;11,98;0,19;0,17;0,18;87,28;76,55;74,20;6,77;29,06
"2000";113,63;90,06;100,65;141,29;85,95;92,80;100,65;99,63;68,88;27,21;3,66;0,28;9,01;1,35;10,14;77,05;46,58;45,99;5,30;8,55;0,32;0,56;0,33;109,76;111,47;143,05;5,65;37,14
"2001";114,25;102,46;98,87;92,32;100,19;178,09;106,25;93,76;61,18;5,38;2,73;0,41;7,78;0,27;3,38;88,06;83,62;21,89;1,69;7,36;0,25;3,22;1,96;109,36;110,61;101,72;0,65;40,24
"2002";100,23;101,18;89,94;103,89;95,47;98,99;108,59;98,70;81,73;0,77;1,76;0,11;8,11;0,15;0,29;87,18;68,62;4,13;0,38;8,70;0,50;4,95;3,45;107,73;106,44;102,41;0,20;38,70
"2003";93,86;95,36;84,35;96,17;99,85;97,89;101,33;97,72;85,48;0,17;2,01;0,30;8,57;0,03;0,43;88,79;20,26;5,97;0,47;10,08;0,17;8,66;4,55;106,29;104,10;99,84;0,72;34,68
"2004";75,87;69,08;73,50;71,01;92,78;74,56;85,29;91,87;93,78;0,09;1,23;0,33;8,77;0,05;-;99,30;86,37;26,66;0,32;10,17;0,15;9,55;4,76;73,40;81,45;91,07;0,21;38,29
"2005";105,13;79,37;89,07;95,09;103,10;90,31;99,84;102,16;94,41;0,08;1,34;0,26;1,21;0,07;0,01;103,64;101,79;34,60;0,34;10,50;0,22;9,28;5,17;93,86;100,02;104,93;0,09;42,95
"2006";119,70;83,81;92,13;90,78;98,62;85,89;100,70;106,79;99,73;0,31;0,94;0,34;0,33;0,13;0,04;103,70;102,50;36,40;0,22;11,50;42,28;9,03;4,91;99,21;105,44;109,79;1,60;46,17
"2007";114,96;97,63;97,76;95,97;107,84;87,97;102,65;114,12;103,72;0,15;0,61;0,44;0,36;0,23;0,05;101,18;102,77;35,94;0,32;11,82;77,08;9,19;5,27;100,93;110,13;114,92;3,11;49,23
"2008";104,43;86,29;87,54;91,82;100,04;85,69;93,89;100,20;98,40;0,18;0,25;0,50;0,49;0,21;0,08;94,85;96,49;33,54;0,75;13,43;73,41;8,87;6,05;89,76;102,78;107,55;50,24;47,09
"2009";102,31;97,22;94,48;100,57;107,97;88,54;100,37;102,89;99,89;0,15;0,37;0,37;0,42;0,28;0,08;100,51;103,28;10,73;0,44;17,18;78,03;10,71;30,01;100,52;103,51;102,64;2,81;49,69
"2010";97,74;91,17;88,78;90,75;100,80;82,38;93,10;104,64;93,99;0,18;0,16;0,63;0,34;0,31;0,08;94,25;95,69;1,03;0,36;19,21;71,63;23,97;29,78;93,59;93,56;102,25;2,97;49,25
"2011";103,51;96,38;89,88;93,11;95,98;80,74;93,40;101,53;92,71;0,11;0,08;0,41;0,38;0,27;0,11;92,26;99,51;0,66;0,33;20,45;77,49;28,92;34,84;98,91;95,93;107,96;3,86;48,95
"2012";103,02;94,45;93,64;83,87;95,00;84,54;93,88;100,62;97,29;0,09;0,11;0,47;0,32;0,29;0,06;91,40;97,85;0,80;0,39;20,45;76,89;29,60;49,17;98,32;97,67;102,55;3,09;49,31
"2013";103,68;84,12;91,35;80,36;90,07;82,57;93,22;99,37;90,34;0,20;0,12;0,58;0,42;0,35;0,06;92,41;99,90;0,56;1,04;20,45;81,72;28,83;61,58;107,12;99,79;103,59;87,56;51,50
"2014";103,17;58,78;92,46;86,89;70,42;71,06;86,67;88,49;76,49;0,23;0,30;0,53;0,34;0,40;0,10;85,72;85,33;0,44;1,01;19,56;75,36;29,07;55,11;115,39;108,56;91,71;90,51;46,86
"2015";106,06;66,67;92,52;93,64;57,71;76,80;83,28;87,32;74,20;0,36;0,38;0,58;0,50;0,51;0,36;83,29;91,00;0,39;0,51;19,70;76,99;28,02;55,61;108,81;94,98;84,80;62,37;46,31
"2016";114,05;64,33;75,83;87,95;59,57;91,49;77,26;68,62;71,72;0,44;0,41;0,78;0,51;0,50;0,40;69,45;86,03;0,42;0,22;18,63;67,58;30,75;61,16;93,76;89,14;79,54;132,73;44,59
"2017";109,72;62,74;70,35;87,12;58,66;62,34;73,18;63,23;69,77;0,57;0,37;0,89;0,70;0,80;0,33;72,08;81,65;61,33;26,19;23,46;68,95;28,75;55,56;84,74;83,08;76,05;82,42;46,46
"2018";89,85;66,53;69,93;75,56;62,31;65,43;80,58;71,42;76,45;0,90;0,77;1,02;1,06;2,94;1,16;68,28;93,20;73,80;46,49;58,83;75,46;59,22;58,37;89,70;85,48;78,17;84,26;58,40
"2019";52,74;44,01;49,10;44,06;38,04;42,27;53,07;43,97;47,81;0,43;0,41;0,75;0,70;1,96;0,93;41,14;58,64;46,25;26,46;45,08;56,64;56,79;42,64;56,34;49,27;51,15;55,20;39,91
